,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
wa: 182,faust://document/wa/182,wa: 182,UnknownRef,,1,0,,,,,,,,2
wa: 182 i_r_o,faust://inscription/wa/182/i_r_o,wa: 182 i_r_o,Inscription,wa: 182,2,0,,,1831-11-27,,1831-11-27,1831.0,1831,3
1 H.8,faust://document/faustedition/1_H.8,1 H.8,Witness,,3,0,,,,,,,,11
1 H.15,faust://document/faustedition/1_H.15,1 H.15,Witness,,4,0,,,1776-01-02,1776-01-02,1776-01-02,1776.0,1776,18
2 III H.27 alpha,faust://inscription/faustedition/2_III_H.27/alpha,2 III H.27 alpha,Inscription,2 III H.27,5,0,,,1825-04-06,,1825-04-06,1825.0,1825,30
2 III H.30 alpha,faust://inscription/faustedition/2_III_H.30/alpha,2 III H.30 alpha,Inscription,2 III H.30,6,0,,,1825-03-08,,1825-03-08,1825.0,1825,31
2 III H.70 alpha,faust://inscription/faustedition/2_III_H.70/alpha,2 III H.70 alpha,Inscription,2 III H.70,7,0,,,1826-05-26,,1826-05-26,1826.0,1826,33
2 III H.71 alpha,faust://inscription/faustedition/2_III_H.71/alpha,2 III H.71 alpha,Inscription,2 III H.71,8,0,,,1826-05-25,,1826-05-25,1826.0,1826,32
2 II H.69 alpha,faust://inscription/faustedition/2_II_H.69/alpha,2 II H.69 alpha,Inscription,2 II H.69,9,0,,,1831-02-26,,1831-02-26,1831.0,1831,25
2 II H.71 alpha,faust://inscription/faustedition/2_II_H.71/alpha,2 II H.71 alpha,Inscription,2 II H.71,10,0,,,1830-06-26,,1830-06-26,1830.0,1830,24
2 I H.21 alpha,faust://inscription/faustedition/2_I_H.21/alpha,2 I H.21 alpha,Inscription,2 I H.21,11,0,,,1828-03-31,,1828-03-31,1828.0,1828,34
2 I H.32 alpha,faust://inscription/faustedition/2_I_H.32/alpha,2 I H.32 alpha,Inscription,2 I H.32,12,0,,,1827-12-23,,1827-12-23,1827.0,1827,35
2 V H.3 alpha,faust://inscription/faustedition/2_V_H.3/alpha,2 V H.3 alpha,Inscription,2 V H.3,13,0,,,1825-03-05,,1825-03-05,1825.0,1825,22
2 V H.17 i_r,faust://inscription/faustedition/2_V_H.17/i_r,2 V H.17 i_r,Inscription,2 V H.17,14,0,,,1825-03-17,1825-03-27,1825-03-17,1825.0,1825,46
2 IV H.12 i_v_o,faust://inscription/faustedition/2_IV_H.12/i_v_o,2 IV H.12 i_v_o,Inscription,2 IV H.12,15,0,,,1832-06-06,,1832-06-06,1832.0,1832,89
fischer_lamberg: 2_III_H.15,faust://document/fischer_lamberg/2_III_H.15,fischer_lamberg: 2_III_H.15,UnknownRef,,16,0,,,,,,,,97
wa: 2_H_P167,faust://document/wa/2_H_P167,wa: 2_H_P167,UnknownRef,,17,0,,,,,,,,115
wa: 2_III_H.2_alpha,faust://document/wa/2_III_H.2_alpha,wa: 2_III_H.2_alpha,UnknownRef,,18,0,,,1826-05-26,,1826-05-26,1826.0,1826,108
wa: 2_II_H.31_alpha,faust://document/wa/2_II_H.31_alpha,wa: 2_II_H.31_alpha,UnknownRef,,19,0,,,1832-06-06,,1832-06-06,1832.0,1832,107
wa: 2_H_P167 i_uebrige,faust://inscription/wa/2_H_P167/i_uebrige,wa: 2_H_P167 i_uebrige,Inscription,wa: 2_H_P167,20,0,,,1825-04-06,,1825-04-06,1825.0,1825,116
2 I H.0,faust://document/faustedition/2_I_H.0,2 I H.0,Witness,,21,0,,,,,,,,118
2 I H.0a,faust://document/faustedition/2_I_H.0a,2 I H.0a,Witness,,22,0,,,,,,,,119
2 I H.0b,faust://document/faustedition/2_I_H.0b,2 I H.0b,Witness,,23,0,,,,,,,,120
2 I H.0c,faust://document/faustedition/2_I_H.0c,2 I H.0c,Witness,,24,0,,,,,,,,121
2 I H.0d,faust://document/faustedition/2_I_H.0d,2 I H.0d,Witness,,25,0,,,,,,,,122
2 I H.2,faust://document/faustedition/2_I_H.2,2 I H.2,Witness,,26,0,,,1832-06-06,,1832-06-06,1832.0,1832,124
2 I H.6a,faust://document/faustedition/2_I_H.6a,2 I H.6a,Witness,,27,0,,,,,,,,129
2 I H.10,faust://document/faustedition/2_I_H.10,2 I H.10,Witness,,28,0,,,1832-06-06,,1832-06-06,1832.0,1832,148
2 I H.14,faust://document/faustedition/2_I_H.14,2 I H.14,Witness,,29,0,,,1828-06-01,,1828-06-01,1828.0,1828,154
2 I H.15b,faust://document/faustedition/2_I_H.15b,2 I H.15b,Witness,,30,0,,,1832-06-06,,1832-06-06,1832.0,1832,157
2 I H.15c,faust://document/faustedition/2_I_H.15c,2 I H.15c,Witness,,31,0,,,,,,,,158
2 I H.16,faust://document/faustedition/2_I_H.16,2 I H.16,Witness,,32,0,,,,,,,,159
2 I H.18,faust://document/faustedition/2_I_H.18,2 I H.18,Witness,,33,0,,,1828-03-31,,1828-03-31,1828.0,1828,161
2 I H.21,faust://document/faustedition/2_I_H.21,2 I H.21,Witness,,34,2,,,1828-03-31,,1828-03-31,1828.0,1828,164
2 I H.23,faust://document/faustedition/2_I_H.23,2 I H.23,Witness,,35,0,,,1828-03-31,,1828-03-31,1828.0,1828,166
2 I H.24a,faust://document/faustedition/2_I_H.24a,2 I H.24a,Witness,,36,0,,,,,,,,168
2 I H.49,faust://document/faustedition/2_I_H.49,2 I H.49,Witness,,37,0,,,1829-10-01,,1829-10-01,1829.0,1829,198
2 I H.51,faust://document/faustedition/2_I_H.51,2 I H.51,Witness,,38,0,,,1832-06-06,,1832-06-06,1832.0,1832,202
2 I H.52,faust://document/faustedition/2_I_H.52,2 I H.52,Witness,,39,2,,,1832-06-06,,1832-06-06,1832.0,1832,203
2 I H.53,faust://document/faustedition/2_I_H.53,2 I H.53,Witness,,40,4,,,1832-06-06,,1832-06-06,1832.0,1832,204
2 I H.54,faust://document/faustedition/2_I_H.54,2 I H.54,Witness,,41,0,,,1832-06-06,,1832-06-06,1832.0,1832,205
2 I H.55,faust://document/faustedition/2_I_H.55,2 I H.55,Witness,,42,3,,,1832-06-06,,1832-06-06,1832.0,1832,206
